tin;year;revenue;expenditure
0245957894;2019;1356000.0;1275000.0
0245957894;2020;513000.0;484000.0
0245957894;2021;3002000.0;2958000.0
0245957894;2022;3484000.0;3406000.0
0245958552;2018;0.0;0.0
0245958552;2019;1.13744E8;1.12708E8
0245958552;2020;1.70022E8;1.67284992E8
0245958552;2021;2.7114E8;2.69392992E8
0245958552;2022;3.33548992E8;3.29432992E8
0245960537;2019;8382000.0;8370000.0
0245969346;2022;0.0;0.0
0249007974;2018;0.0;0.0
0249007974;2019;0.0;0.0
0249007974;2020;0.0;0.0
0250016028;2018;0.0;0.0
0250016028;2019;6290000.0;5850000.0
0250016028;2020;4416000.0;3134000.0
0250016028;2021;1399000.0;1411000.0
0250016028;2022;0.0;326000.0
0250016290;2018;3.0291E7;3.027E7
0250016290;2019;4.9418E7;4.9378E7
0250016589;2018;0.0;0.0
0253003348;2018;0.0;0.0
0253003348;2019;0.0;0.0
0253003348;2020;0.0;0.0
0253003348;2021;0.0;0.0
0253003348;2022;0.0;0.0
0253007092;2018;1.228E7;1.2115E7
0253007092;2019;1.2928E7;1.1979E7
0253007092;2020;9679000.0;9316000.0
0253007092;2021;1.4197E7;1.227E7
0253007092;2022;7342000.0;6961000.0
0253008963;2018;1.9491E7;1.361E7
0253008963;2019;9677000.0;8482000.0
0253008963;2020;6811000.0;5841000.0
0253008963;2021;4771000.0;3961000.0
0253008963;2022;1.1165E7;9787000.0
0253019115;2018;478000.0;478000.0
0253019115;2019;760000.0;760000.0
0253019115;2020;2168000.0;2164000.0
0253019115;2021;3196000.0;3194000.0
0253019115;2022;3663000.0;3493000.0
0254006630;2018;57000.0;57000.0
0254006630;2019;100000.0;100000.0
0254006630;2020;0.0;0.0
0254006630;2021;0.0;0.0
0254006630;2022;0.0;0.0
0254012987;2019;137000.0;133000.0
0254012987;2020;0.0;0.0
0254012987;2021;0.0;0.0
0254012987;2022;50000.0;48000.0
0255023540;2021;0.0;0.0
0255023540;2022;8000.0;8000.0
0255023607;2022;0.0;290000.0
0256013224;2018;2.7837E7;2.632E7
0256013224;2019;2.6683E7;2.6232E7
0256013224;2020;2.4226E7;2.0246E7
0256013224;2021;2.4741E7;2.1438E7
0256013224;2022;3.127E7;2.2661E7
0256998187;2019;0.0;0.0
0256998187;2020;0.0;0.0
0256999247;2021;468000.0;162000.0
0257007738;2018;2.6178E7;2.5823E7
0257007738;2019;2.9933E7;2.9883E7
0257007738;2020;3.2959E7;3.2207E7
0257007738;2021;3.8786E7;3.7781E7
0257007738;2022;4.4181E7;4.2278E7
0257009284;2018;1214000.0;1177000.0
0257009284;2019;254000.0;208000.0
0257009936;2018;0.0;0.0
0257009936;2019;0.0;0.0
0257009936;2020;0.0;0.0
0257009936;2021;0.0;0.0
0257011276;2018;267000.0;262000.0
0257011276;2019;24000.0;0.0
0257011276;2020;0.0;0.0
0257011276;2021;0.0;0.0
0257011276;2022;0.0;0.0
0257013072;2020;197000.0;9000.0
0257013072;2021;0.0;0.0
0258012956;2018;6568000.0;6517000.0
0258953921;2020;364000.0;19000.0
0258953921;2021;1134000.0;487000.0
0258953921;2022;123000.0;148000.0
0259007719;2018;8.5477E7;8.1813E7
0259007719;2019;8.787E7;8.357E7
0259007719;2020;5.2161E7;5.0781E7
0259007719;2021;1.02394E8;8.3076E7
0259007719;2022;8.5749E7;8.2535E7
0259009755;2018;0.0;0.0
0259009755;2019;0.0;0.0
0259009868;2018;1.05516E8;1.01731E8
0259009868;2019;9.8015E7;9.5024E7
0259009868;2020;1.00571E8;9.7737E7
0259009868;2021;9.9677E7;9.7329E7
0259009868;2022;1.30054E8;1.27823E8
0259010888;2018;1.946E7;1.6393E7
0259010944;2018;0.0;0.0
0259011634;2018;2.1813E7;2.1722E7
0259011634;2019;2.3549E7;2.343E7
0259011634;2020;1.4097E7;1.3985E7
0259011634;2021;0.0;0.0
0259011634;2022;3592000.0;3488000.0
0259012966;2018;6.7391E7;6.6271E7
0259012966;2019;9.0189E7;8.2799E7
0259012966;2020;4.1864E7;4.0932E7
0259012966;2021;5.7806E7;5.2072E7
0259012966;2022;6.9361E7;6.5462E7
0259013180;2018;2.4593E7;2.2837E7
0259014385;2018;9800000.0;9754000.0
0259014385;2019;2.1621E7;2.1574E7
0259014385;2020;0.0;0.0
0259014385;2021;0.0;0.0
0259015452;2019;39000.0;39000.0
0259015452;2020;167000.0;162000.0
0259015452;2021;1099000.0;1098000.0
0259015452;2022;934000.0;933000.0
0261001753;2018;1.70734E8;2.12924992E8
0261001753;2019;1.03171E8;1.76116E8
0261001753;2020;1537000.0;1.1565E7
0261001753;2021;656000.0;3405000.0
0261001753;2022;0.0;0.0
0261013928;2018;0.0;0.0
0261013928;2019;0.0;0.0
0261018242;2018;1115000.0;930000.0
0261018242;2019;773000.0;650000.0
0261018242;2020;1390000.0;900000.0
0261018242;2021;531000.0;300000.0
0261018242;2022;654000.0;500000.0
0261024599;2018;1.8849E7;1.9378E7
0261024599;2019;3156000.0;5529000.0
0261024599;2020;0.0;0.0
0261024655;2018;1.865E7;2.1341E7
0261024655;2019;7577000.0;9594000.0
0261024655;2020;0.0;48000.0
0261024655;2021;0.0;0.0
0261024655;2022;0.0;0.0
0261025088;2018;9.4478E7;9.2286E7
0261025088;2019;9.0667E7;8.8985E7
0261025088;2020;9.3541E7;9.2413E7
0261025088;2021;1.06241E8;1.04898E8
0261025088;2022;1.45558E8;1.43320992E8
0261033402;2018;5237000.0;5222000.0
0261044524;2019;1997000.0;3591000.0
0261044524;2020;1.09291E8;1.08626E8
0261044524;2021;1.28431E8;1.27996E8
0261044524;2022;9.4566E7;9.389E7
0261044588;2020;270000.0;4610000.0
0261044588;2021;3.8183E7;4.4323E7
0261044588;2022;4.68843008E8;2.2884E8
0261045824;2020;0.0;0.0
0262015766;2018;2645000.0;3047000.0
0262024834;2018;411000.0;383000.0
0262024834;2019;0.0;0.0
0262024834;2020;175000.0;164000.0
0262024834;2022;67000.0;67000.0
0262025683;2018;0.0;0.0
0262025683;2019;0.0;0.0
0262025690;2018;1.9115E7;1.1797E7
0262025690;2019;1000.0;659000.0
0262025690;2020;0.0;21000.0
0262025725;2018;1515000.0;1242000.0
0262025725;2019;322000.0;530000.0
0262025725;2020;0.0;202000.0
0262029046;2018;450000.0;543000.0
0262029046;2019;816000.0;748000.0
0262029046;2020;8331000.0;7993000.0
0262029046;2021;1.1485E7;1.117E7
0262029046;2022;1.0769E7;1.0381E7
0262032641;2019;511000.0;422000.0
0262032641;2020;1602000.0;1473000.0
0262032641;2021;807000.0;749000.0
0262032641;2022;348000.0;476000.0
0262033860;2019;0.0;100000.0
0262033860;2020;2719000.0;1658000.0
0262033860;2021;5.2586E7;4.7037E7
0262033860;2022;4.329E7;3.6638E7
0262034448;2019;0.0;0.0
0262034448;2020;0.0;0.0
0262034448;2021;6550000.0;6545000.0
0262034462;2019;0.0;0.0
0262034462;2020;7477000.0;7472000.0
0262034462;2021;1.9343E7;1.9294E7
0262034504;2019;0.0;0.0
0262034504;2020;0.0;0.0
0262034504;2021;2594000.0;2590000.0
0262034543;2020;0.0;0.0
0262034543;2021;3278000.0;3271000.0
0263014733;2018;1266000.0;1251000.0
0263014733;2019;973000.0;965000.0
0263014733;2020;810000.0;802000.0
0263014733;2021;1055000.0;1031000.0
0263014733;2022;841000.0;833000.0
0263022389;2018;0.0;0.0
0263022389;2019;7678000.0;7551000.0
0263022389;2020;6219000.0;6243000.0
0263022389;2021;0.0;12000.0
0264000645;2018;75000.0;0.0
0264000719;2018;0.0;0.0
0264000719;2019;0.0;0.0
0264002000;2018;8.2739E7;7.4013E7
0264002000;2019;9.3813E7;8.4481E7
0264002000;2020;1.12919E8;9.0557E7
0264002000;2021;1.21368E8;1.14478E8
0264002000;2022;1.21822E8;1.16793E8
0264003572;2018;8060000.0;7480000.0
0264003572;2019;7417000.0;7398000.0
0264003572;2020;2361000.0;1965000.0
0264003572;2021;2925000.0;2904000.0
0264003572;2022;2984000.0;2844000.0
0264004946;2018;1.47808E8;1.47672E8
0264004946;2019;5.27492992E8;5.09387008E8
0264004946;2020;5.25854016E8;5.00291008E8
0264004946;2021;5.35115008E8;5.07031008E8
0264004946;2022;5.9711302E8;5.6776301E8
0264006541;2018;9890000.0;9418000.0
0264006541;2019;1.1532E7;1.1023E7
0264006541;2020;9921000.0;9471000.0
0264006541;2021;7741000.0;7297000.0
