tin;year;employees_count
0261018242;2021;2
0261018242;2022;0
0261024599;2018;33
0261024599;2020;0
0261024655;2018;58
0261024655;2020;0
0261024655;2021;0
0261024655;2022;0
0261025088;2018;83
0261025088;2019;86
0261025088;2020;82
0261025088;2021;86
0261025088;2022;87
0261033402;2018;1
0261044524;2019;138
0261044524;2020;165
0261044524;2021;167
0261044524;2022;142
0261044588;2020;2
0261044588;2021;19
0261044588;2022;272
0261045824;2020;1
0262015766;2018;1
0262024834;2018;4
0262024834;2019;1
0262024834;2020;1
0262024834;2022;0
0262025595;2018;1
0262025595;2019;5
0262025595;2020;6
0262025595;2021;1
0262025683;2018;1
0262025683;2019;1
0262025690;2018;43
0262025690;2019;0
0262025690;2020;0
0262025725;2018;8
0262025725;2019;8
0262025725;2020;1
0262029046;2018;1
0262029046;2019;3
0262029046;2020;5
0262029046;2021;3
0262029046;2022;3
0262032641;2019;2
0262032641;2020;3
0262032641;2021;2
0262032641;2022;1
0262033860;2019;1
0262033860;2020;6
0262033860;2021;28
0262033860;2022;38
0262034448;2019;20
0262034448;2020;0
0262034448;2021;1
0262034462;2019;20
0262034462;2020;4
0262034462;2021;2
0262034504;2019;20
0262034504;2020;2
0262034504;2021;1
0262034543;2020;0
0262034543;2021;1
0263014733;2018;5
0263014733;2019;4
0263014733;2020;3
0263014733;2021;2
0263014733;2022;2
0263022389;2018;1
0263022389;2019;6
0263022389;2020;6
0263022389;2021;0
0264000645;2018;1
0264000719;2020;1
0264002000;2018;79
0264002000;2019;83
0264002000;2020;91
0264002000;2021;90
0264002000;2022;82
0264003572;2018;23
0264003572;2019;15
0264003572;2020;2
0264003572;2021;3
0264003572;2022;2
0264004946;2018;30
0264004946;2019;35
0264004946;2020;25
0264004946;2021;30
0264004946;2022;38
0264006541;2018;4
0264006541;2019;4
0264006541;2020;8
0264006541;2021;8
0264006541;2022;8
0264011929;2018;53
0264011929;2019;32
0264011929;2020;38
0264011929;2021;47
0264011929;2022;54
0264017159;2018;8
0264017159;2019;9
0264017159;2020;11
0264017159;2021;10
0264017159;2022;7
0264022286;2018;4
0264022286;2019;3
0264022286;2020;1
0264054873;2018;5
0264054873;2019;5
0264054873;2020;5
0264054873;2021;5
0264054873;2022;4
0264062867;2018;1
0264062867;2019;1
0264062867;2020;0
0264065280;2018;29
0264065280;2019;39
0264065280;2020;36
0264065280;2021;34
0264071741;2018;34
0264071741;2019;29
0264071741;2020;29
0264071741;2021;21
0264071741;2022;18
0264072417;2018;1
0264072417;2019;1
0264072417;2020;1
0264072417;2021;1
0264072417;2022;1
0264073185;2019;2
0264073185;2020;0
0264073185;2021;1
0264073185;2022;1
0264076683;2019;1
0264076683;2020;0
0264076683;2021;1
0264078634;2021;1
0264078634;2022;0
0265035016;2018;1
0265035016;2019;1
0265035016;2020;1
0265035016;2021;1
0265039821;2018;1
0265039821;2019;1
0265039821;2020;1
0265039821;2021;2
0265039821;2022;2
0265045261;2018;1
0265045261;2019;1
0265045261;2020;1
0265045261;2021;1
0265045261;2022;1
0265046850;2018;1
0265046850;2019;1
0265046850;2020;1
0265048216;2019;2
0265048216;2020;1
0265048216;2021;2
0265048216;2022;2
0265048368;2019;1
0265048368;2020;0
0265048368;2021;1
0265048368;2022;1
0265052149;2022;31
0266013093;2018;0
0266013093;2019;0
0266021048;2018;0
0266021048;2019;0
0266021048;2020;0
0266021048;2022;0
0266022771;2018;4
0266022771;2019;2
0266022771;2021;1
0266022771;2022;0
0266033928;2018;23
0266033928;2019;23
0266033928;2020;32
0266033928;2021;29
0266033928;2022;27
0266055992;2019;1
0266055992;2020;0
0266055992;2021;0
0266056280;2018;8
0266056280;2019;10
0266056280;2020;10
0266056280;2021;11
0266056280;2022;10
0267008515;2019;1
0267008515;2021;1
0267008515;2022;1
0267016788;2019;0
0267016788;2020;0
0267016788;2021;0
0267016788;2022;0
0267016964;2018;2
0267016964;2019;2
0267016964;2020;2
0267016964;2021;4
0267016964;2022;1
0267017284;2019;6
0267017284;2020;4
0267017284;2021;4
0267017284;2022;3
0267019316;2019;1
0267019316;2020;1
0267019316;2021;1
0267019316;2022;1
0267021410;2018;1
0267021410;2019;2
0267021410;2020;4
0267021410;2021;3
0267021410;2022;5
0267022573;2018;3
0267022573;2019;9
0267022573;2020;2
0267022573;2021;1
0267023619;2020;1
0267023619;2021;8
0267023619;2022;7
0267024355;2021;1
0267024355;2022;1
0268000195;2018;8
0268000195;2019;6
0268000195;2020;1
0268000195;2021;1
0268000195;2022;1
0268000283;2018;1
0268000283;2019;1
0268000283;2020;1
0268029275;2018;2
0268029275;2019;2
0268029275;2020;10
0268029275;2021;6
0268029275;2022;1
0268030665;2018;3
0268030665;2019;2
0268038600;2018;5
0268053165;2018;36
0268056871;2018;1
0268056871;2019;1
0268056871;2020;0
0268061141;2018;18
0268061141;2019;15
0268061141;2020;18
0268061141;2021;19
0268061141;2022;21
0268064953;2018;2
0268064953;2019;1
0268064953;2020;1
0268068242;2018;6
0268068242;2019;4
0268068242;2020;6
0268068242;2021;1
0268068242;2022;1
0268071887;2018;1
0268071887;2019;1
0268071887;2020;1
0268071887;2021;1
0268071887;2022;1
0268072841;2018;1
0268072841;2019;1
0268072841;2020;0
0268072841;2021;0
0268072841;2022;0
0268074750;2018;1
0268074750;2019;1
0268074750;2020;1
0268074750;2021;0
0268074750;2022;1
0268093866;2021;1
0268093866;2022;1
0268094700;2021;1
0268094700;2022;1
0269018815;2018;163
0269018815;2019;158
0269018815;2020;154
0269018815;2021;51
0269018815;2022;6
0269019456;2018;34
0269019456;2019;27
0269019456;2020;24
0269019456;2021;27
0269019456;2022;24
0269024738;2018;91
0269024738;2019;79
0269024738;2020;0
0269024738;2021;46
0269024738;2022;43
0269029285;2018;0
0269029285;2019;0
0269029285;2020;0
0269029895;2018;1
0269029895;2019;1
0269029895;2020;0
0269029895;2021;0
0269029895;2022;0
0269031090;2018;0
0269031090;2019;0
0269031090;2020;0
0269032697;2018;99
0269032697;2019;180
0269032697;2020;193
0269032697;2021;253
0269032697;2022;263
0269042007;2021;2
0269042007;2022;0
0269997110;2018;0
0269998917;2018;1
0269998917;2019;1
0269998917;2020;2
0269998917;2021;3
0269998917;2022;5
0270015551;2018;1
0270015551;2019;0
0271004009;2018;4
0271004009;2019;4
0271004009;2020;4
0271004009;2021;3
0272010654;2018;17
0272010654;2019;15
0272010654;2020;17
0272010654;2021;16
0272010654;2022;13
0272011320;2018;5
0272011320;2019;6
0272011320;2020;2
0272020701;2018;1
0272020701;2019;1
0272020701;2020;0
0272020701;2022;0
0272022522;2018;8
0272022522;2019;5
0272022522;2020;6
0272022699;2019;1
0272022699;2020;0
0272022699;2021;1
0272022699;2022;1
0272022709;2018;1
0272022709;2019;1
0272022709;2020;1
0272022709;2021;1
0272022709;2022;1
0272906031;2018;1
0272906031;2019;1
0272915050;2020;0
0272915050;2021;0
0272915050;2022;0
0272915741;2020;1
0272915741;2021;1
0272915741;2022;1
0273000257;2018;0
0273000257;2019;0
0273000257;2020;0
0273000257;2021;0
0273000257;2022;1
0273000352;2018;1
0273000352;2019;1
0273000352;2020;1
0273000352;2021;1
0273000352;2022;1
0273005858;2018;3
0273005858;2019;3
0273005858;2020;2
0273005858;2021;2
0273005858;2022;2
0273016176;2018;11
0273016176;2019;9
0273016176;2020;10
0273016176;2021;9
0273016176;2022;8
0273017476;2018;1
0273017476;2019;1
0273025614;2018;1
0273025614;2019;1
0273025614;2020;1
0273025614;2021;1
0273031390;2018;36
0273031390;2019;37
0273031390;2020;41
0273031390;2021;36
0273031390;2022;37
0273032668;2018;4
0273032668;2019;4
0273032668;2020;3
0273032668;2021;3
0273032668;2022;3
0273034070;2018;5
0273034070;2019;4
0273035877;2018;0
0273046903;2018;81
0273046903;2019;81
0273046903;2020;79
0273046903;2021;78
0273046903;2022;76
0273057535;2018;1
0273057535;2019;1
0273057535;2020;1
0273059229;2018;39
0273059229;2019;18
0273059229;2020;0
0273059229;2021;24
0273059229;2022;33
0273067639;2018;2
0273067639;2019;3
0273067639;2021;2
0273067639;2022;1
0273072692;2018;4
0273072692;2019;0
0273072692;2020;0
0273072692;2021;0
0273072692;2022;1
0273082517;2018;0
0273086310;2018;3
0273086310;2019;5
0273086310;2020;6
0273086310;2021;9
0273086310;2022;10
0273086504;2018;1
0273086504;2019;1
0273095700;2018;6
0273095700;2019;7
0273095700;2020;86
0273095700;2021;51
0273095700;2022;8
0273097016;2018;1
0273908497;2019;1
0273916032;2019;1
0273916032;2020;0
0273921466;2018;0
0273921466;2019;1
0273921466;2020;1
0273921466;2021;1
0273921466;2022;1
0273923907;2018;1
0273923907;2019;2
0273923907;2020;2
0273923907;2021;5
0273923907;2022;8
0273927027;2019;2
0273938942;2021;1
0273940733;2021;1
0273940733;2022;1
0273941230;2021;6
0273941230;2022;9
0273943300;2021;0
0273943300;2022;1
0274002257;2018;45
0274002257;2019;47
0274002257;2020;47
0274002257;2021;38
0274002257;2022;36
0274004180;2018;25
0274004180;2019;26
0274004180;2020;24
0274004180;2021;22
0274004180;2022;21
0274030864;2018;3
0274030864;2019;2
0274030864;2020;1
0274030864;2021;1
0274030864;2022;0
0274038045;2018;2
0274043831;2018;3
0274043831;2019;4
0274043831;2020;3
0274043831;2021;3
0274043831;2022;3
0274056608;2018;1
0274056608;2019;1
0274056608;2020;1
0274056608;2021;1
0274056608;2022;1
0274068515;2018;1
0274070874;2019;8
0274070874;2020;10
0274070874;2021;10
0274070874;2022;10
0274106591;2018;1
0274106591;2019;1
0274106591;2020;1
0274106591;2021;1
0274106591;2022;1
0274107370;2018;4
0274107370;2019;0
0274111665;2018;1
0274111986;2018;1
0274111986;2019;1
0274111986;2020;1
0274111986;2021;1
0274111986;2022;1
0274118847;2018;1
0274118847;2019;1
0274118847;2020;1
0274118847;2021;1
0274118847;2022;1
0274135786;2018;54
0274135786;2019;44
0274135786;2020;35
0274135786;2021;27
0274135786;2022;14
0274140560;2018;1
0274143233;2018;11
0274143233;2019;11
0274143233;2020;0
0274143233;2021;9
0274143233;2022;8
0274143890;2018;4
0274143890;2019;3
0274143890;2020;3
0274143890;2021;3
0274143890;2022;3
0274160486;2018;1
0274160486;2019;1
0274161610;2018;1
0274161610;2019;2
0274161610;2020;2
0274166664;2018;13
0274166664;2019;15
0274166664;2020;16
0274166664;2021;11
0274166664;2022;7
0274168238;2018;8
0274168238;2019;9
0274168238;2020;0
0274168238;2021;9
0274168238;2022;5
0274170614;2018;1
0274170614;2019;1
0274170614;2020;1
0274170614;2021;1
0274171713;2018;2
0274171713;2019;3
0274171713;2020;3
0274171713;2021;3
0274171713;2022;3
0274172890;2018;4
0274172890;2019;3
0274172890;2020;2
0274172890;2021;1
0274172890;2022;1
0274178878;2018;1
0274178878;2019;1
0274178878;2020;0
0274178878;2022;0
0274903269;2018;1
0274903269;2019;1
0274903269;2020;2
0274903269;2021;2
0274903269;2022;3
0274903340;2018;37
0274903340;2019;64
0274903340;2020;76
0274903340;2021;59
0274903340;2022;34
0274903660;2018;16
0274903660;2019;1
0274903660;2020;0
0274903660;2021;1
0274903660;2022;1
0274905097;2018;5
0274905097;2019;1
0274905097;2020;0
0274905097;2021;1
0274905097;2022;1
0274906076;2018;5
0274906076;2019;3
0274906076;2020;3
0274906076;2021;7
0274906076;2022;8
0274917470;2018;1
0274921388;2018;2
0274921388;2019;3
0274921388;2020;1
0274921388;2021;1
0274921388;2022;1
0274923667;2018;5
0274923667;2019;1
0274923667;2020;1
0274923667;2021;0
0274923667;2022;2
0274925079;2018;1
0274925079;2019;1
0274925079;2020;0
0274925079;2022;1
0274926587;2018;1
0274926587;2019;1
0274931770;2018;1
0274933552;2018;1
0274933552;2019;1
0274933552;2020;2
0274933552;2021;2
0274933552;2022;2
0274943818;2019;1
0274943818;2020;0
0274943818;2021;0
0274943818;2022;0
0274944307;2019;9
0274944307;2020;0
0274944307;2021;8
0274944307;2022;5
0274950117;2019;1
0274950117;2020;0
0274950117;2021;0
0274950117;2022;0
0274955651;2020;1
0274955651;2021;1
0274955651;2022;2
0274956101;2020;3
0274956101;2021;10
0274956101;2022;7
0274958606;2020;0
0274958606;2021;1
0274958606;2022;1
0274962560;2020;0
0274962560;2021;0
0274962560;2022;0
0274963959;2021;1
0274963959;2022;1
0274965900;2021;1
0274965900;2022;1
0274966276;2021;1
0274966276;2022;1
0274968989;2021;1
0274968989;2022;1
0274971727;2022;1
0274973481;2022;2
0274975954;2022;0
0275003630;2018;1
0275003630;2019;0
0275016809;2018;8
0275016809;2019;7
0275016809;2020;6
0275016809;2021;5
0275016809;2022;5
0275026660;2018;0
0275026660;2019;0
0275026660;2020;0
0275026660;2021;0
0275026660;2022;1
0275039010;2018;5
0275039010;2019;5
0275039010;2020;4
0275039010;2021;4
0275039010;2022;4
0275039411;2018;6
0275039411;2019;6
0275039411;2020;6
0275039411;2021;6
0275039411;2022;6
0275047035;2018;0
0275047035;2019;1
0275047035;2020;0
0275047035;2021;0
0275047035;2022;1
0275063340;2018;1
0275063340;2019;1
0275068250;2018;63
0275068250;2019;59
0275068250;2020;45
0275068250;2021;41
0275068250;2022;44
0275068275;2018;1
0275068275;2019;1
0275068275;2020;1
0275068275;2021;1
0275068275;2022;1
0275069430;2018;0
0275069430;2019;0
0275070669;2018;29
0275071302;2018;1
0275071302;2019;1
0275071302;2020;1
0275071302;2021;1
0275071302;2022;1
0275073483;2018;4
0275073483;2019;2
0275073483;2020;2
0275074374;2018;86
0275074374;2019;66
0275074374;2020;57
0275074374;2021;62
0275074374;2022;36
0275074631;2018;19
0275074631;2019;34
0275074631;2020;44
0275074631;2021;40
0275074631;2022;32
0275075794;2018;3
0275075794;2019;4
0275075794;2020;5
0275075794;2021;5
0275075794;2022;5
0275081928;2018;2
0275081928;2019;2
0275081928;2020;1
0275081928;2021;1
0275081928;2022;1
0275082110;2018;1
0275082110;2019;1
0275082110;2020;0
0275082110;2021;1
0275082110;2022;1
0275901426;2018;13
0275901426;2019;16
0275901426;2020;15
0275901426;2021;20
0275901426;2022;16
0275908132;2018;90
0275908132;2019;77
0275908132;2020;62
0275908132;2021;27
0275908132;2022;18
0275909697;2018;12
0275909697;2019;8
0275909697;2020;1
0275909697;2021;0
0275909697;2022;0
0275912001;2018;2
0275912001;2019;4
0275912001;2020;1
0275921380;2020;4
0275921380;2021;1
0275921380;2022;1
0275921905;2020;1
0275921905;2021;1
0275921905;2022;1
0275927576;2022;1
0276009949;2020;0
0276009949;2021;0
0276009949;2022;0
0276024256;2018;8
0276024256;2019;6
0276024256;2020;5
0276024256;2021;4
0276024256;2022;3
0276025549;2018;10
0276025549;2019;10
0276025549;2020;6
0276025549;2021;5
0276025549;2022;10
0276038467;2018;3
0276038467;2019;3
0276038467;2020;3
0276038467;2021;3
0276038467;2022;3
0276050249;2018;6
0276050249;2019;6
0276050249;2020;7
0276050249;2021;7
0276050249;2022;6
0276050344;2018;1
0276050344;2019;1
0276050344;2020;1
0276050344;2021;1
0276050344;2022;1
0276076159;2018;1
0276076159;2019;1
0276076159;2020;4
0276076159;2021;2
0276076159;2022;7
0276077635;2018;2
0276077635;2019;0
0276077635;2020;0
0276077635;2021;0
0276077635;2022;0
0276089341;2018;1
0276089341;2019;1
0276089341;2020;1
0276089341;2021;1
0276089341;2022;1
0276094542;2018;5
0276094542;2019;5
0276094542;2020;4
0276094542;2021;4
0276094542;2022;4
0276094711;2018;1
0276095715;2018;1
0276095715;2019;1
0276095715;2020;1
0276095715;2021;1
0276095715;2022;1
0276100926;2018;10
0276100926;2019;2
0276100926;2020;1
0276100926;2021;1
0276100926;2022;1
0276108763;2018;17
0276108763;2019;12
0276108763;2020;8
0276108763;2021;8
0276108763;2022;10
0276117197;2018;1
0276117197;2019;1
0276117197;2020;0
0276117197;2021;1
0276117197;2022;1
0276139539;2018;0
0276141390;2018;4
0276141390;2019;4
0276141390;2020;5
0276141390;2021;5
0276141390;2022;6
0276144024;2018;2
0276144024;2019;1
0276144024;2020;0
0276144024;2021;0
0276144024;2022;0
0276144546;2018;5
0276144546;2019;12
0276144546;2020;14
0276144546;2021;15
0276144546;2022;14
0276146180;2018;2
0276146180;2019;2
0276146180;2020;2
0276146180;2021;3
0276146180;2022;2
0276149135;2018;1
0276149135;2019;1
0276149135;2020;1
0276149135;2021;1
0276149135;2022;1
0276155570;2018;0
0276155570;2021;3
0276155570;2022;3
0276158690;2018;52
0276158690;2019;51
0276158690;2020;24
0276158690;2021;23
0276158690;2022;21
0276160516;2018;7
0276160516;2019;6
0276160516;2020;3
0276160516;2021;4
0276160516;2022;5
0276903560;2018;69
0276903560;2019;66
0276903560;2020;58
0276903560;2021;34
0276903560;2022;1
0276911314;2018;3
0276911314;2019;3
0276911360;2018;0
0276916552;2018;1
0276916552;2019;1
0276916552;2020;0
0276916552;2021;1
0276921898;2018;1
0276921898;2019;1
0276921898;2020;1
0276921898;2021;1
0276921898;2022;1
0276929840;2018;1
0276929840;2019;1
0276929840;2020;1
0276929840;2021;1
0276929840;2022;1
0276931021;2018;7
0276931021;2019;4
0276931021;2020;4
0276931021;2021;4
0276931021;2022;1
0276935971;2019;1
0276935971;2020;4
0276935971;2021;2
0276935971;2022;1
0276937263;2018;14
0276937263;2019;14
0276937263;2020;4
0276937263;2021;6
0276941936;2019;0
0276941936;2020;1
0276941936;2021;1
0276941936;2022;0
0276942369;2019;1
0276942369;2020;1
0276942369;2021;1
0276942369;2022;1
0276944060;2019;1
0276944302;2019;2
0276944302;2020;5
0276947536;2020;2
0276952367;2020;1
0276952367;2021;1
0276952367;2022;1
0276955625;2020;0
0276958070;2020;1
0276958070;2021;1
0276958070;2022;0
0276970180;2022;0
0277002512;2018;6
0277002512;2019;6
0277002512;2020;7
0277002512;2021;6
0277002512;2022;3
0277003153;2018;0
0277003153;2019;2
0277003153;2020;2
0277003153;2021;2
0277003153;2022;2
0277013610;2018;3
0277013610;2019;3
0277013610;2020;2
0277013610;2021;2
